,dt_opened,block_opened,position_days,hour_opened,day_opened,month_opened,weth_borrow_balance,weth_collateral_balance,weth_borrow_balance_share,weth_collateral_balance_share,usdc_borrow_balance,usdc_collateral_balance,usdc_borrow_balance_share,usdc_collateral_balance_share,wbtc_borrow_balance,wbtc_collateral_balance,wbtc_borrow_balance_share,wbtc_collateral_balance_share,comp_borrow_balance,comp_collateral_balance,comp_borrow_balance_share,comp_collateral_balance_share,uni_borrow_balance,uni_collateral_balance,uni_borrow_balance_share,uni_collateral_balance_share,link_borrow_balance,link_collateral_balance,link_borrow_balance_share,link_collateral_balance_share,collateral_usd_balance,borrow_usd_balance,borrow-collateral-ratio,liquidation_event_happened
46,1-11-2022,15877966,259.64999999999986,21,1,11,0.0,0.26899999999999996,0.0,1.0,190.00233799999998,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,424.6381149146108,190.05682262093185,0.4475736302172258,False
47,1-11-2022,15878340,259.64999999999986,23,1,11,0.0,1e-07,0.0,1.0,2.8999999999999997e-05,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0001575314835,2.900825235275959e-05,0.1841425707944888,False
48,3-11-2022,15889125,259.64999999999986,11,3,11,0.0,1.0,0.0,0.14947343500701046,10052.491248999999,0.0,1.0,0.0,0,0.43301999999999996,0.0,0.8505265649929895,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10340.49305527769,10052.887866964975,0.9721865111484288,True
49,9-11-2022,15929705,259.64999999999986,3,9,11,0.0,30.0,0.0,0.6374046788713252,38934.125005,0.0,1.0,0.0,0,0.0,0.0,0.0,0,50.0,0.0,0.2514412088260986,0,500.0,0.0,0.05076123378106037,0,500.0,0.0,0.06039287852151586,61059.3541973284,38939.312427651115,0.6377288613601957,False
50,10-11-2022,15942027,259.64999999999986,20,10,11,0.0,2e-05,0.0,1.0,0.015547,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.026012740577262727,0.015589701969095381,0.5993102465613355,False
51,10-11-2022,15942174,118.0,21,10,11,2.240883104491997,2.3588435874762457,1.0,0.9194223919965822,0.0,0.0,0.0,0.0,0,1e-08,0.0,5.280208808770883e-08,0,0.897026,0.0,0.08057755520132988,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3418.2954974124536,2985.6901644228246,0.8734441380749272,False
52,11-11-2022,15947916,259.64999999999986,16,11,11,0.0,0.0,0.0,0.0,329063.708431,0.0,1.0,0.0,0,30.86265472,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,515690.8390680518,329649.3360951915,0.6392383015586014,False
53,11-11-2022,15949926,259.64999999999986,23,11,11,0.0,1.0000082900020535,0.0,1.0,200.382038,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1280.786727636582,200.82779124322917,0.1568003375658131,False
54,13-11-2022,15957785,259.64999999999986,1,13,11,0.0,15.0,0.0,1.0,8000.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18930.625695392977,8012.058352288682,0.4232326221651788,False
55,14-11-2022,15964890,259.64999999999986,1,14,11,0.0,1.9438455764907998e-05,0.0,1.0,0.001629,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.02347814957789121,0.0016316651776224827,0.06949717958858995,False
56,15-11-2022,15977928,259.64999999999986,20,15,11,0.0,5.366073259098172,0.0,0.6213858776365808,9770.61784,0.0,1.0,0.0,0,0.24432391,0.0,0.3786141223634192,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10812.433295457344,9780.001708130276,0.9045144086335472,True
57,16-11-2022,15980089,259.64999999999986,4,16,11,0.0,700.0,0.0,1.0,794148.937708,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,884297.4611211574,795061.0746027798,0.899087817796922,True
58,16-11-2022,15982722,259.64999999999986,12,16,11,0.0,0.0,0.0,0.0,600000.0,0.0,1.0,0.0,0,81.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1344615.1969710914,600467.3501826131,0.4465718902591898,False
59,16-11-2022,15983024,259.64999999999986,13,16,11,0.0,5.499971633802762,0.0,1.0,5681.516057,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6731.597044817465,5686.054025416594,0.8446812825485721,True
60,16-11-2022,15985674,84.0,22,16,11,0.0,2.4,0.0,0.0283212226906569,75501.012338,0.0,1.0,0.0,0,2.03546568,0.0,0.3278777787169889,0,195.0,0.0,0.585391501327033,0,1000.0,0.0,0.0584094972653212,0,0.0,0.0,0.0,102283.80049826992,75570.33424804818,0.7388299406153412,False
61,19-11-2022,16002653,259.64999999999986,7,19,11,0.0,0.15,0.0,1.0,110.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,181.54892517826408,110.11555617290392,0.6065337818154567,False
62,19-11-2022,16002746,259.64999999999986,8,19,11,0.0,0.0,0.0,0.0,2117055.255854,0.0,1.0,0.0,0,172.0086,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2841278.2286596545,2119287.8844769085,0.7458924166946727,False
63,20-11-2022,16014334,259.64999999999986,22,20,11,0.0,4.95,0.0,0.9052898135384306,5509.883876,0.0,1.0,0.0,0,0.0,0.0,0.0,0,1.936938,0.0,0.09471018646156934,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6279.682494743253,5516.9045243535265,0.8785323985681999,True
64,21-11-2022,16020904,259.64999999999986,20,21,11,0.0,0.15,0.0,1.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,165.2729657980741,100.10138398970408,0.6056730664106625,False
65,23-11-2022,16032817,259.64999999999986,12,23,11,0.0,9.85,0.0,0.7601649285960054,12225.196934,0.0,1.0,0.0,0,0.0,0.0,0.0,0,6.191371,0.0,0.12579022552112484,0,0.0,0.0,0.0,0,266.7870069518835,0.0,0.11404484588286982,15113.275218576067,12238.084004643335,0.8097572384311001,False
66,23-11-2022,16033825,259.64999999999986,16,23,11,0.0,11.95,0.0,0.7589005310198899,14562.985781,0.0,1.0,0.0,0,0.0,0.0,0.0,0,7.436327,0.0,0.12433251041086416,0,0.0,0.0,0.0,0,334.9584119882236,0.0,0.11676695856924613,18365.063506074574,14577.255144663635,0.7937492369597278,False
67,26-11-2022,16057421,259.64999999999986,23,26,11,0.0,6.006282856217463,0.0,1.0,3255.367753,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7247.677583846652,3256.826381779087,0.4493613773655961,False
68,28-11-2022,16070334,259.64999999999986,18,28,11,0.0,1.67,0.0,1.0,800.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1955.256718029785,800.2156727949052,0.4092637378079145,False
69,29-11-2022,16076647,259.64999999999986,15,29,11,0.0,5400.0018760630655,0.0,0.96586419375027,698241.969728,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,41513.334044795934,0.0,0.03413580624973007,0,0.0,0.0,0.0,6782473.515875967,698456.1677007949,0.10297956432353103,False
