,Unnamed: 0,collateral_usd_balance,borrow_usd_balance,borrow-collateral-ratio,dt_opened,block_opened,position_days,hour_opened,day_opened,month_opened,weth_borrow_balance,usdc_borrow_balance,wbtc_borrow_balance,comp_borrow_balance,uni_borrow_balance,link_borrow_balance,weth_collateral_balance,usdc_collateral_balance,wbtc_collateral_balance,comp_collateral_balance,uni_collateral_balance,link_collateral_balance
146,146,318.26857490619966,199.99499323161172,0.6283843552275129,27-9-2022,15624006,259.64999999999986,10,27,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
147,147,1.5854865541207904e-05,0.0,0.0,27-9-2022,15624435,42.0,11,27,9,,,,,,,0.8930835800897687,0.0,0.0,0.0,0.10691641991023124,0.0
148,148,0.0,0.0,0.0,27-9-2022,15627709,59.0,22,27,9,,,,,,,,,,,,
149,149,0.0,0.0,0.0,28-9-2022,15629408,0.0,4,28,9,,,,,,,,,,,,
150,150,0.0,0.0,0.0,28-9-2022,15631457,82.0,11,28,9,,,,,,,,,,,,
151,151,3.092069653502489e-07,0.0,0.0,29-9-2022,15636932,166.0,5,29,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
152,152,0.0,0.0,0.0,29-9-2022,15636944,7.0,5,29,9,,,,,,,,,,,,
153,153,0.0,0.0,0.0,29-9-2022,15637457,69.0,7,29,9,,,,,,,,,,,,
154,154,0.0,0.0,0.0,29-9-2022,15639349,259.64999999999986,13,29,9,,,,,,,,,,,,
155,155,0.0001951035456946935,0.0,0.0,29-9-2022,15639560,2.0,14,29,9,,,,,,,0.0,0.0,0.9694003009242684,0.030599699075731623,0.0,0.0
156,156,0.0,0.0,0.0,29-9-2022,15641347,79.0,20,29,9,,,,,,,,,,,,
157,157,359065.3190797844,280006.29660356627,0.7798199428481949,29-9-2022,15641402,162.0,20,29,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
158,158,0.0,0.0,0.0,30-9-2022,15644145,321.0,5,30,9,,,,,,,,,,,,
159,159,0.0,0.0,0.0,30-9-2022,15645438,26.0,10,30,9,,,,,,,,,,,,
160,160,1329.2038308053345,767.9158356183552,0.5777261679671,1-10-2022,15652737,259.64999999999986,10,1,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
161,161,0.0,0.0,0.0,1-10-2022,15655246,91.0,18,1,10,,,,,,,,,,,,
162,162,0.0,0.0,0.0,1-10-2022,15656497,39.0,23,1,10,,,,,,,,,,,,
163,163,1.3089967040191683,0.0,0.0,2-10-2022,15658107,0.0,4,2,10,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
164,164,0.0,0.0,0.0,2-10-2022,15662672,0.0,19,2,10,,,,,,,,,,,,
165,165,6.3769683784239515,2.856013165539273,0.4478637804136528,2-10-2022,15663821,46.0,23,2,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
166,166,0.00019814735655389508,0.0,0.0,3-10-2022,15667778,47.0,12,3,10,,,,,,,0.0,0.0,0.9698703536060446,0.030129646393955482,0.0,0.0
167,167,0.0,0.0,0.0,3-10-2022,15668737,77.0,16,3,10,,,,,,,,,,,,
168,168,7.6279910674902774e-06,0.0,0.0,4-10-2022,15671706,47.0,2,4,10,,,,,,,0.5887758494230969,0.0,0.0,0.4112241505769029,0.0,0.0
169,169,0.0,0.0,0.0,4-10-2022,15671813,13.0,2,4,10,,,,,,,,,,,,
170,170,0.0,0.0,0.0,4-10-2022,15672280,116.0,4,4,10,,,,,,,,,,,,
171,171,0.0,0.0,0.0,4-10-2022,15672443,43.0,4,4,10,,,,,,,,,,,,
172,172,94210.21890058494,69998.11742211513,0.7429992015619924,4-10-2022,15673369,167.0,7,4,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
173,173,0.0,0.0,0.0,4-10-2022,15673483,36.0,8,4,10,,,,,,,,,,,,
174,174,0.0,0.0,0.0,4-10-2022,15674103,25.0,10,4,10,,,,,,,,,,,,
175,175,0.0,0.0,0.0,4-10-2022,15674171,271.0,10,4,10,,,,,,,,,,,,
176,176,0.0013484216514028345,0.00015499299300470598,0.11494401090597925,4-10-2022,15674567,259.64999999999986,11,4,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
177,177,0.0,0.0,0.0,4-10-2022,15676596,36.0,18,4,10,,,,,,,,,,,,
178,178,0.0002034452432619583,0.0,0.0,5-10-2022,15678214,0.0,0,5,10,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0
179,179,0.0,0.0,0.0,5-10-2022,15679162,7.0,3,5,10,,,,,,,,,,,,
180,180,0.0,0.0,0.0,5-10-2022,15679179,98.0,3,5,10,,,,,,,,,,,,
181,181,0.000201816340231798,0.0,0.0,5-10-2022,15680191,388.0,6,5,10,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0
182,182,0.6722036638448026,0.0,0.0,5-10-2022,15681646,0.0,11,5,10,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
183,183,911895.0913733093,0.0,0.0,5-10-2022,15682385,513.0,14,5,10,,,,,,,0.0,0.9999999997820634,2.179365832390609e-10,0.0,0.0,0.0
